"status","label","title","URL"
,"css","Complete Guide Table Element","https://css-tricks.com/complete-guide-table-element/"
,"css","Steps to be a CSS superstart","https://www.freecodecamp.org/news/follow-these-steps-to-become-a-css-superstar-837cd6cb9b1a/"
,"css","Layout Design: Types of Grids for Creating Professional-Looking Designs","https://www.notion.so/lav989/Layout-Design-Types-of-Grids-for-Creating-Professional-Looking-Designs-30ffeaf3c8364a628ad5707e5fa1564d"
,"css","How to become a designer without going to design school ","https://www.notion.so/lav989/How-to-Become-a-Designer-Without-Going-to-Design-School-Designlab-4563cbf5556042f1950a8096fb3ddf90"
,"html","Liquid – a cheatsheet","https://shopify.github.io/liquid/filters/capitalize/"
,"javascript","JavaScript basics","https://developer.mozilla.org/en-US/docs/Learn/Getting_started_with_the_web/JavaScript_basics"
,"javascript","Why should I learn JavaScript in 2020? Complete Reference.","https://medium.com/@arifullahkhan176/why-should-i-learn-javascript-in-2020-complete-reference-68fef0f7babf"
,"javascript","Why Learn JavaScript First?","https://northcoders.com/company/blog/which-programming-language-to-learn"
,"javascript","Should I learn Javascript? ","https://www.quora.com/Should-I-learn-JavaScript"
,"html","HTML elements reference","https://developer.mozilla.org/en-US/docs/Web/HTML/Element"
,"html","Basic of HTML","https://edu.gcfglobal.org/en/basic-html/"
,"html","HTML elements","https://www.htmlquick.com/reference/tags.html"
,"html","HTML – Living Standard ","https://html.spec.whatwg.org/multipage/syntax.html"
,"react","All the fundamental React.js concepts, jammed into this one article","https://www.freecodecamp.org/news/all-the-fundamental-react-js-concepts-jammed-into-this-single-medium-article-c83f9b53eac2/"
,"django","Django Basics for a Beginner","https://medium.com/@humble_bee/django-basics-for-a-beginner-5d864e6aa084"
,"html","Jekyll Cheatsheet","https://devhints.io/jekyll"
,"flask","An Introduction to the Flask Python Web App Framework","https://opensource.com/article/18/4/flask"
,"flask","Full Stack Python – Flask","https://www.fullstackpython.com/flask.html"
,"flask","How to Structure Large Flask Applications","https://www.digitalocean.com/community/tutorials/how-to-structure-large-flask-applications"
,"django","Best Django books (2020) for Beginner and Intermediate/Advanced Programmers","http://wsvincent.com/best-django-books/"
